                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    172,                  3e-05,                      1,                      1,                0.26539,               0.001585,               0.001585,               0.001585
                    173,                  4e-05,                      1,                      1,                0.26539,              0.0015355,              0.0015355,              0.0015355
                    174,                  2e-05,                      1,                      1,                0.26539,               0.001486,               0.001486,               0.001486
                    175,                  4e-05,                      1,                      1,                0.26539,              0.0014365,              0.0014365,              0.0014365
                    176,                  2e-05,                      1,                      1,                0.26539,               0.001387,               0.001387,               0.001387
                    177,                  2e-05,                      1,                      1,                0.26539,              0.0013375,              0.0013375,              0.0013375
                    178,                  2e-05,                      1,                      1,                0.26539,               0.001288,               0.001288,               0.001288
                    179,                  3e-05,                      1,                      1,                0.26539,              0.0012385,              0.0012385,              0.0012385
                    180,                  1e-05,                      1,                      1,                0.26539,               0.001189,               0.001189,               0.001189
                    181,                  3e-05,                      1,                      1,                0.26539,              0.0011395,              0.0011395,              0.0011395
                    182,                  2e-05,                      1,                      1,                0.26539,                0.00109,                0.00109,                0.00109
                    183,                  1e-05,                      1,                      1,                0.26539,              0.0010405,              0.0010405,              0.0010405
                    184,                  2e-05,                      1,                      1,                0.26539,               0.000991,               0.000991,               0.000991
                    185,                  2e-05,                      1,                      1,                0.26539,              0.0009415,              0.0009415,              0.0009415
                    186,                  4e-05,                      1,                      1,                0.26539,               0.000892,               0.000892,               0.000892
                    187,                  6e-05,                      1,                      1,                0.26539,              0.0008425,              0.0008425,              0.0008425
                    188,                  2e-05,                      1,                      1,                0.26539,               0.000793,               0.000793,               0.000793
                    189,                  4e-05,                      1,                      1,                0.26539,              0.0007435,              0.0007435,              0.0007435
                    190,                  1e-05,                      1,                      1,                0.26539,               0.000694,               0.000694,               0.000694
                    191,                  5e-05,                      1,                      1,                0.26539,              0.0006445,              0.0006445,              0.0006445
                    192,                  4e-05,                      1,                      1,                0.26539,               0.000595,               0.000595,               0.000595
                    193,                  6e-05,                      1,                      1,                0.26539,              0.0005455,              0.0005455,              0.0005455
                    194,                  2e-05,                      1,                      1,                0.26539,               0.000496,               0.000496,               0.000496
                    195,                  1e-05,                      1,                      1,                0.26539,              0.0004465,              0.0004465,              0.0004465
                    196,                  1e-05,                      1,                      1,                0.26539,               0.000397,               0.000397,               0.000397
                    197,                  1e-05,                      1,                      1,                0.26539,              0.0003475,              0.0003475,              0.0003475
                    198,                  2e-05,                      1,                      1,                0.26539,               0.000298,               0.000298,               0.000298
                    199,                  4e-05,                      1,                      1,                0.26539,              0.0002485,              0.0002485,              0.0002485
                    200,                  3e-05,                      1,                      1,                0.26539,               0.000199,               0.000199,               0.000199
